"Species","Family","N5","Last year","Map"
"Aglais io  (Linnaeus, 1758)","Nymphalidae","585220","2022","Show (ancien)"
"Aglais urticae  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Anthocharis cardamines  (Linnaeus, 1758)","Pieridae","585220","2022","Show (ancien)"
"Aphantopus hyperantus  (Linnaeus, 1758)","Nymphalidae","585220","2021","Show (ancien)"
"Aporia crataegi  (Linnaeus, 1758)","Pieridae","585220","1912","Show (ancien)"
"Araschnia levana  (Linnaeus, 1758)","Nymphalidae","585220","2022","Show (ancien)"
"Argynnis paphia  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Aricia agestis  (Denis & Schiffermüller, 1775)","Lycaenidae","585220","2023","Show (ancien)"
"Aricia agestis aggr.","Lycaenidae","585220","2011","Show (ancien)"
"Boloria dia  (Linnaeus, 1767)","Nymphalidae","585220","1985","Show (ancien)"
"Boloria euphrosyne  (Linnaeus, 1758)","Nymphalidae","585220","2020","Show (ancien)"
"Boloria selene  (Denis & Schiffermüller, 1775)","Nymphalidae","585220","1911","Show (ancien)"
"Boloria titania  (Esper, 1793)","Nymphalidae","585220","1911","Show (ancien)"
"Brenthis daphne  (Denis & Schiffermüller, 1775)","Nymphalidae","585220","2022","Show (ancien)"
"Brenthis ino  (Rottemburg, 1775)","Nymphalidae","585220","1894","Show (ancien)"
"Brintesia circe  (Fabricius, 1775)","Nymphalidae","585220","2023","Show (ancien)"
"Callophrys rubi  (Linnaeus, 1758)","Lycaenidae","585220","2004","Show (ancien)"
"Carcharodus alceae  (Esper, 1780)","Hesperiidae","585220","2015","Show (ancien)"
"Carterocephalus palaemon  (Pallas, 1771)","Hesperiidae","585220","2003","Show (ancien)"
"Celastrina argiolus  (Linnaeus, 1758)","Lycaenidae","585220","2023","Show (ancien)"
"Chazara briseis  (Linnaeus, 1764)","Nymphalidae","585220","1916","Show (ancien)"
"Coenonympha arcania  (Linnaeus, 1761)","Nymphalidae","585220","1979","Show (ancien)"
"Coenonympha glycerion  (Borkhausen, 1788)","Nymphalidae","585220","1905","Show (ancien)"
"Coenonympha pamphilus  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Colias alfacariensis  Ribbe, 1905","Pieridae","585220","2021","Show (ancien)"
"Colias crocea  (Fourcroy, 1785)","Pieridae","585220","2022","Show (ancien)"
"Colias hyale  (Linnaeus, 1758)","Pieridae","585220","1911","Show (ancien)"
"Colias hyale aggr.","Pieridae","585220","2021","Show (ancien)"
"Cupido alcetas  (Hoffmannsegg, 1804)","Lycaenidae","585220","2022","Show (ancien)"
"Cupido argiades  (Pallas, 1771)","Lycaenidae","585220","2021","Show (ancien)"
"Cupido minimus  (Fuessly, 1775)","Lycaenidae","585220","2015","Show (ancien)"
"Cyaniris semiargus  (Rottemburg, 1775)","Lycaenidae","585220","2015","Show (ancien)"
"Erebia aethiops  (Esper, 1777)","Nymphalidae","585220","2004","Show (ancien)"
"Erebia ligea  (Linnaeus, 1758)","Nymphalidae","585220","2004","Show (ancien)"
"Erebia medusa  (Denis & Schiffermüller, 1775)","Nymphalidae","585220","1985","Show (ancien)"
"Erebia meolans  (Prunner, 1798)","Nymphalidae","585220","1895","Show (ancien)"
"Erynnis tages  (Linnaeus, 1758)","Hesperiidae","585220","1985","Show (ancien)"
"Euphydryas aurinia aurinia (Rottemburg, 1775)","Nymphalidae","585220","1927","Show (ancien)"
"Fabriciana adippe  (Denis & Schiffermüller, 1775)","Nymphalidae","585220","2015","Show (ancien)"
"Fabriciana niobe  (Linnaeus, 1758)","Nymphalidae","585220","2004","Show (ancien)"
"Favonius quercus  (Linnaeus, 1758)","Lycaenidae","585220","2004","Show (ancien)"
"Glaucopsyche alexis  (Poda, 1761)","Lycaenidae","585220","1929","Show (ancien)"
"Gonepteryx rhamni  (Linnaeus, 1758)","Pieridae","585220","2023","Show (ancien)"
"Hamearis lucina  (Linnaeus, 1758)","Lycaenidae","585220","2004","Show (ancien)"
"Hesperia comma  (Linnaeus, 1758)","Hesperiidae","585220","1985","Show (ancien)"
"Hipparchia fagi  (Scopoli, 1763)","Nymphalidae","585220","1909","Show (ancien)"
"Hipparchia genava  (Fruhstorfer, 1908)","Nymphalidae","585220","1907","Show (ancien)"
"Hipparchia semele  (Linnaeus, 1758)","Nymphalidae","585220","1909","Show (ancien)"
"Hyponephele lycaon  (Rottemburg, 1775)","Nymphalidae","585220","1916","Show (ancien)"
"Iphiclides podalirius  (Linnaeus, 1758)","Papilionidae","585220","2023","Show (ancien)"
"Issoria lathonia  (Linnaeus, 1758)","Nymphalidae","585220","2020","Show (ancien)"
"Jordanita globulariae  (Hübner, 1793)","Zygaenidae","585220","1905","Show (ancien)"
"Jordanita notata  (Zeller, 1847)","Zygaenidae","585220","1915","Show (ancien)"
"Lampides boeticus  (Linnaeus, 1767)","Lycaenidae","585220","2003","Show (ancien)"
"Lasiommata maera  (Linnaeus, 1758)","Nymphalidae","585220","2020","Show (ancien)"
"Lasiommata megera  (Linnaeus, 1767)","Nymphalidae","585220","2023","Show (ancien)"
"Leptidea juvernica  Williams, 1946","Pieridae","585220","1913","Show (ancien)"
"Leptidea sinapis  (Linnaeus, 1758)","Pieridae","585220","2008","Show (ancien)"
"Leptidea sinapis aggr.","Pieridae","585220","2021","Show (ancien)"
"Limenitis camilla  (Linnaeus, 1764)","Nymphalidae","585220","2022","Show (ancien)"
"Limenitis populi  (Linnaeus, 1758)","Nymphalidae","585220","2022","Show (ancien)"
"Limenitis reducta  Staudinger, 1901","Nymphalidae","585220","1895","Show (ancien)"
"Lycaena helle  (Denis & Schiffermüller, 1775)","Lycaenidae","585220","1935","Show (ancien)"
"Lycaena hippothoe  (Linnaeus, 1761)","Lycaenidae","585220","2011","Show (ancien)"
"Lycaena hippothoe euridice (Rottemburg, 1775)","Lycaenidae","585220","1942","Show (ancien)"
"Lycaena phlaeas  (Linnaeus, 1761)","Lycaenidae","585220","2023","Show (ancien)"
"Lycaena tityrus  (Poda, 1761)","Lycaenidae","585220","2015","Show (ancien)"
"Lycaena tityrus tityrus (Poda, 1761)","Lycaenidae","585220","2002","Show (ancien)"
"Lycaena virgaureae  (Linnaeus, 1758)","Lycaenidae","585220","2008","Show (ancien)"
"Lysandra bellargus  (Rottemburg, 1775)","Lycaenidae","585220","2021","Show (ancien)"
"Lysandra coridon  (Poda, 1761)","Lycaenidae","585220","2019","Show (ancien)"
"Maniola jurtina  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Melanargia galathea  (Linnaeus, 1758)","Nymphalidae","585220","2021","Show (ancien)"
"Melitaea athalia aggr.","Nymphalidae","585220","2020","Show (ancien)"
"Melitaea aurelia  Nickerl, 1850","Nymphalidae","585220","1966","Show (ancien)"
"Melitaea celadussa  Fruhstorfer, 1910","Nymphalidae","585220","1942","Show (ancien)"
