"Species","Family","N5","Last year","Map"
"Melitaea cinxia  (Linnaeus, 1758)","Nymphalidae","585220","2005","Show (ancien)"
"Melitaea diamina  (Lang, 1789)","Nymphalidae","585220","1934","Show (ancien)"
"Melitaea didyma  (Esper, 1778)","Nymphalidae","585220","2004","Show (ancien)"
"Melitaea parthenoides  Keferstein, 1851","Nymphalidae","585220","1979","Show (ancien)"
"Melitaea phoebe  (Denis & Schiffermüller, 1775)","Nymphalidae","585220","1877","Show (ancien)"
"Minois dryas  (Scopoli, 1763)","Nymphalidae","585220","2012","Show (ancien)"
"Muschampia floccifera  (Zeller, 1847)","Hesperiidae","585220","1910","Show (ancien)"
"Muschampia lavatherae  (Esper, 1783)","Hesperiidae","585220","1952","Show (ancien)"
"Nymphalis polychloros  (Linnaeus, 1758)","Nymphalidae","585220","2020","Show (ancien)"
"Ochlodes sylvanus  (Esper, 1778)","Hesperiidae","585220","2022","Show (ancien)"
"Papilio machaon  Linnaeus, 1758","Papilionidae","585220","2023","Show (ancien)"
"Pararge aegeria  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Parnassius apollo  (Linnaeus, 1758)","Papilionidae","585220","2017","Show (ancien)"
"Phengaris alcon rebeli (Hirschke, 1904)","Lycaenidae","585220","1920","Show (ancien)"
"Phengaris arion  (Linnaeus, 1758)","Lycaenidae","585220","1911","Show (ancien)"
"Phengaris nausithous  (Bergsträsser, 1779)","Lycaenidae","585220","1937","Show (ancien)"
"Phengaris teleius  (Bergsträsser, 1779)","Lycaenidae","585220","1933","Show (ancien)"
"Pieris brassicae  (Linnaeus, 1758)","Pieridae","585220","2023","Show (ancien)"
"Pieris mannii  (Mayer, 1851)","Pieridae","585220","2021","Show (ancien)"
"Pieris napi  (Linnaeus, 1758)","Pieridae","585220","2021","Show (ancien)"
"Pieris rapae  (Linnaeus, 1758)","Pieridae","585220","2023","Show (ancien)"
"Plebejus idas  (Linnaeus, 1761)","Lycaenidae","585220","1937","Show (ancien)"
"Polygonia c-album  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Polyommatus dorylas  (Denis & Schiffermüller, 1775)","Lycaenidae","585220","1987","Show (ancien)"
"Polyommatus icarus  (Rottemburg, 1775)","Lycaenidae","585220","2023","Show (ancien)"
"Polyommatus thersites  (Cantener, 1835)","Lycaenidae","585220","1981","Show (ancien)"
"Pontia edusa  (Fabricius, 1777)","Pieridae","585220","1895","Show (ancien)"
"Pyrgus accreta  (Verity, 1925)","Hesperiidae","585220","2011","Show (ancien)"
"Pyrgus armoricanus  (Oberthür, 1910)","Hesperiidae","585220","2021","Show (ancien)"
"Pyrgus carthami  (Hübner, 1813)","Hesperiidae","585220","1915","Show (ancien)"
"Pyrgus cirsii  (Rambur, 1839)","Hesperiidae","585220","1958","Show (ancien)"
"Pyrgus malvae  (Linnaeus, 1758)","Hesperiidae","585220","2003","Show (ancien)"
"Pyrgus serratulae  (Rambur, 1839)","Hesperiidae","585220","1917","Show (ancien)"
"Rhagades pruni  (Denis & Schiffermüller, 1775)","Zygaenidae","585220","2007","Show (ancien)"
"Satyrium acaciae  (Fabricius, 1787)","Lycaenidae","585220","2007","Show (ancien)"
"Satyrium ilicis  (Esper, 1779)","Lycaenidae","585220","1985","Show (ancien)"
"Satyrium spini  (Denis & Schiffermüller, 1775)","Lycaenidae","585220","2012","Show (ancien)"
"Satyrium w-album  (Knoch, 1782)","Lycaenidae","585220","2006","Show (ancien)"
"Speyeria aglaja  (Linnaeus, 1758)","Nymphalidae","585220","2015","Show (ancien)"
"Spialia sertorius  (Hoffmannsegg, 1804)","Hesperiidae","585220","2004","Show (ancien)"
"Thecla betulae  (Linnaeus, 1758)","Lycaenidae","585220","2022","Show (ancien)"
"Thymelicus lineola  (Ochsenheimer, 1808)","Hesperiidae","585220","2015","Show (ancien)"
"Thymelicus sylvestris  (Poda, 1761)","Hesperiidae","585220","2015","Show (ancien)"
"Vanessa atalanta  (Linnaeus, 1758)","Nymphalidae","585220","2023","Show (ancien)"
"Vanessa cardui  (Linnaeus, 1758)","Nymphalidae","585220","2022","Show (ancien)"
"Zygaena carniolica  (Scopoli, 1763)","Zygaenidae","585220","1958","Show (ancien)"
"Zygaena ephialtes  (Linnaeus, 1767)","Zygaenidae","585220","2007","Show (ancien)"
"Zygaena fausta  (Linnaeus, 1767)","Zygaenidae","585220","1941","Show (ancien)"
"Zygaena filipendulae  (Linnaeus, 1758)","Zygaenidae","585220","2023","Show (ancien)"
"Zygaena lonicerae  (Scheven, 1777)","Zygaenidae","585220","1987","Show (ancien)"
"Zygaena loti  (Denis & Schiffermüller, 1775)","Zygaenidae","585220","1944","Show (ancien)"
"Zygaena minos  (Denis & Schiffermüller, 1775)","Zygaenidae","585220","1940","Show (ancien)"
"Zygaena purpuralis  (Brünnich, 1763)","Zygaenidae","585220","1940","Show (ancien)"
"Zygaena transalpina  (Esper, 1780)","Zygaenidae","585220","1999","Show (ancien)"
"Zygaena trifolii  (Esper, 1783)","Zygaenidae","585220","1929","Show (ancien)"
"Zygaena viciae  (Denis & Schiffermüller, 1775)","Zygaenidae","585220","1952","Show (ancien)"
