"Species","Family","N5","Last year","Map"
"Abrostola asclepiadis  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1930","Show (ancien)"
"Abrostola tripartita  (Hufnagel, 1766)","Noctuidae","585220","2023","Show (ancien)"
"Abrostola triplasia  (Linnaeus, 1758)","Noctuidae","585220","1945","Show (ancien)"
"Acherontia atropos  (Linnaeus, 1758)","Sphingidae","585220","2002","Show (ancien)"
"Achlya flavicornis  (Linnaeus, 1758)","Drepanidae","585220","1900","Show (ancien)"
"Acronicta aceris  (Linnaeus, 1758)","Noctuidae","585220","1979","Show (ancien)"
"Acronicta alni  (Linnaeus, 1767)","Noctuidae","585220","2023","Show (ancien)"
"Acronicta auricoma  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1949","Show (ancien)"
"Acronicta euphorbiae  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1927","Show (ancien)"
"Acronicta megacephala  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1912","Show (ancien)"
"Acronicta psi  (Linnaeus, 1758)","Noctuidae","585220","2013","Show (ancien)"
"Acronicta rumicis  (Linnaeus, 1758)","Noctuidae","585220","1983","Show (ancien)"
"Actinotia polyodon  (Clerck, 1759)","Noctuidae","585220","1927","Show (ancien)"
"Adela croesella  (Scopoli, 1763)","Adelidae","585220","1946","Show (ancien)"
"Adela reaumurella  (Linnaeus, 1758)","Adelidae","585220","2000","Show (ancien)"
"Aedia funesta  (Esper, 1786)","Noctuidae","585220","1920","Show (ancien)"
"Aetheria bicolorata  (Hufnagel, 1766)","Noctuidae","585220","1912","Show (ancien)"
"Aetheria dysodea  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1912","Show (ancien)"
"Aglia tau  (Linnaeus, 1758)","Saturniidae","585220","2023","Show (ancien)"
"Agrius convolvuli  (Linnaeus, 1758)","Sphingidae","585220","1983","Show (ancien)"
"Agrochola circellaris  (Hufnagel, 1766)","Noctuidae","585220","1978","Show (ancien)"
"Agrochola helvola  (Linnaeus, 1758)","Noctuidae","585220","1995","Show (ancien)"
"Agrochola litura  Linnaeus, 1758","Noctuidae","585220","1979","Show (ancien)"
"Agrochola lota  (Clerck, 1759)","Noctuidae","585220","1995","Show (ancien)"
"Agrochola lychnidis  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1945","Show (ancien)"
"Agrochola macilenta  (Hübner, 1809)","Noctuidae","585220","1978","Show (ancien)"
"Agrochola nitida  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1978","Show (ancien)"
"Agrotis cinerea  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1950","Show (ancien)"
"Agrotis clavis  (Hufnagel, 1766)","Noctuidae","585220","1985","Show (ancien)"
"Agrotis exclamationis  (Linnaeus, 1758)","Noctuidae","585220","2023","Show (ancien)"
"Agrotis ipsilon  (Hufnagel, 1766)","Noctuidae","585220","1979","Show (ancien)"
"Agrotis segetum  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1983","Show (ancien)"
"Allophyes oxyacanthae  (Linnaeus, 1758)","Noctuidae","585220","1982","Show (ancien)"
"Ammoconia caecimacula  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1929","Show (ancien)"
"Amphipoea fucosa  (Freyer, 1830)","Noctuidae","585220","1930","Show (ancien)"
"Amphipoea oculea  (Linnaeus, 1761)","Noctuidae","585220","1948","Show (ancien)"
"Amphipyra pyramidea  (Linnaeus, 1758)","Noctuidae","585220","1979","Show (ancien)"
"Amphipyra tragopoginis  (Clerck, 1759)","Noctuidae","585220","1979","Show (ancien)"
"Anaplectoides prasina  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1979","Show (ancien)"
"Antitype chi  (Linnaeus, 1758)","Noctuidae","585220","1981","Show (ancien)"
"Apamea anceps  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1905","Show (ancien)"
"Apamea crenata  (Hufnagel, 1766)","Noctuidae","585220","1914","Show (ancien)"
"Apamea epomidion  (Haworth, 1809)","Noctuidae","585220","1979","Show (ancien)"
"Apamea furva  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1906","Show (ancien)"
"Apamea illyria  Freyer, 1846","Noctuidae","585220","1983","Show (ancien)"
"Apamea lithoxylaea  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1979","Show (ancien)"
"Apamea monoglypha  (Hufnagel, 1766)","Noctuidae","585220","1986","Show (ancien)"
"Apamea ophiogramma  (Esper, 1793)","Noctuidae","585220","1985","Show (ancien)"
"Apamea platinea  (Treitschke, 1825)","Noctuidae","585220","1936","Show (ancien)"
"Apamea scolopacina  (Esper, 1788)","Noctuidae","585220","2023","Show (ancien)"
"Apamea sordens  (Hufnagel, 1766)","Noctuidae","585220","1983","Show (ancien)"
"Apamea sublustris  (Esper, 1788)","Noctuidae","585220","2013","Show (ancien)"
"Apamea unanimis  (Hübner, 1813)","Noctuidae","585220","1900","Show (ancien)"
"Apoda limacodes  (Hufnagel, 1766)","Limacodidae","585220","2023","Show (ancien)"
"Aporophyla lutulenta  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1924","Show (ancien)"
"Arctia caja  (Linnaeus, 1758)","Erebidae, Arctiinae","585220","1909","Show (ancien)"
"Arctornis l-nigrum  (Müller, 1764)","Erebidae, Lymantriinae","585220","1979","Show (ancien)"
"Asteroscopus sphinx  (Hufnagel, 1766)","Noctuidae","585220","1947","Show (ancien)"
"Athetis gluteosa  (Treitschke, 1835)","Noctuidae","585220","1911","Show (ancien)"
"Atolmis rubricollis  (Linnaeus, 1758)","Erebidae, Arctiinae","585220","2023","Show (ancien)"
"Atypha pulmonaris  (Esper, 1790)","Noctuidae","585220","1902","Show (ancien)"
"Auchmis detersa  (Esper, 1791)","Noctuidae","585220","1979","Show (ancien)"
"Autographa bractea  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1979","Show (ancien)"
"Autographa gamma  (Linnaeus, 1758)","Noctuidae","585220","2023","Show (ancien)"
"Autographa jota  (Linnaeus, 1758)","Noctuidae","585220","1906","Show (ancien)"
"Autographa pulchrina  (Haworth, 1809)","Noctuidae","585220","2023","Show (ancien)"
"Autophila dilucida  (Hübner, 1808)","Erebidae","585220","1895","Show (ancien)"
"Axylia putris  (Linnaeus, 1761)","Noctuidae","585220","1983","Show (ancien)"
"Bembecia ichneumoniformis  (Denis & Schiffermüller, 1775)","Sesiidae","585220","1922","Show (ancien)"
"Bijugis bombycella bombycella Denis & Schiffermüller, 1775","Psychidae","585220","1986","Show (ancien)"
"Blepharita satura  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1979","Show (ancien)"
"Brachylomia viminalis  (Fabricius, 1776)","Noctuidae","585220","1985","Show (ancien)"
"Calliergis ramosa  (Esper, 1786)","Noctuidae","585220","1979","Show (ancien)"
"Callimorpha dominula  (Linnaeus, 1758)","Erebidae, Arctiinae","585220","2023","Show (ancien)"
"Callistege mi  (Clerck, 1759)","Erebidae","585220","1990","Show (ancien)"
"Calliteara pudibunda  (Linnaeus, 1758)","Erebidae, Lymantriinae","585220","2023","Show (ancien)"
"Calophasia lunula  (Hufnagel, 1766)","Noctuidae","585220","1939","Show (ancien)"
"Calophasia platyptera  (Esper, 1788)","Noctuidae","585220","1904","Show (ancien)"
"Cameraria ohridella  Deschka & Dimic, 1986","Gracillariidae","585220","2002","Show (ancien)"
"Caradrina morpheus  Hufnagel, 1766","Noctuidae","585220","1902","Show (ancien)"
"Catocala electa  (Vieweg, 1790)","Erebidae","585220","1927","Show (ancien)"
"Catocala fraxini  (Linnaeus, 1758)","Erebidae","585220","1939","Show (ancien)"
"Catocala fulminea  (Scopoli, 1763)","Erebidae","585220","1906","Show (ancien)"
"Catocala nupta  (Linnaeus, 1767)","Erebidae","585220","1981","Show (ancien)"
"Catocala promissa  (Denis & Schiffermüller, 1775)","Erebidae","585220","1979","Show (ancien)"
"Catocala sponsa  (Linnaeus, 1767)","Erebidae","585220","1986","Show (ancien)"
"Cerapteryx graminis  (Linnaeus, 1758)","Noctuidae","585220","1906","Show (ancien)"
"Cerastis leucographa  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1986","Show (ancien)"
"Cerastis rubricosa  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1988","Show (ancien)"
"Cerura erminea  (Esper, 1784)","Notodontidae","585220","1926","Show (ancien)"
"Chamaesphecia empiformis  (Esper, 1783)","Sesiidae","585220","2007","Show (ancien)"
"Charanyca trigrammica  (Hufnagel, 1766)","Noctuidae","585220","1986","Show (ancien)"
"Chersotis cuprea  (Denis & Schiffermüller, 1775)","Noctuidae","585220","1985","Show (ancien)"
"Chersotis margaritacea  (de Villers, 1789)","Noctuidae","585220","1904","Show (ancien)"
"Chersotis multangula  (Hübner, 1803)","Noctuidae","585220","2013","Show (ancien)"
"Chortodes pygmina  (Haworth, 1809)","Noctuidae","585220","1906","Show (ancien)"
"Cilix glaucata  (Scopoli, 1763)","Drepanidae","585220","1910","Show (ancien)"
