"Species","Family","N5","Last year","Map"
"Eptesicus serotinus  (Schreber, 1774)","Vespertilionidae","585215","2022","Show (ancien)"
"Pipistrellus kuhlii  (Kuhl, 1817)","Vespertilionidae","585215","2019","Show (ancien)"
"Pipistrellus nathusii  (Keyserling & Blasius, 1839)","Vespertilionidae","585215","1987","Show (ancien)"
"Pipistrellus pipistrellus  (Schreber, 1774)","Vespertilionidae","585215","2020","Show (ancien)"
"Pipistrellus pygmaeus  (Leach, 1825)","Vespertilionidae","585215","2003","Show (ancien)"
"Vespertilio murinus  Linnaeus, 1758","Vespertilionidae","585215","2007","Show (ancien)"
