Latein,Français,Jura,Plateau,Versant Nord des Alpes,Alpes centrales Ouest,Alpes centrales Est,Versant Sud des Alpes,non établi en Suisse,1 Eaux libres,2 Rivages et lieu humides,"3 Glaciers, rochers, éboulis et moraines",4 Pelouses et prairies,"5 Landes, lisières et mégaphorbiaies",6 Forêts,7 Végétations pionnières des endroits perturbés,"8 Plantations, champs, cultures",9 Milieux construits,Potentiel d'expansion,santé,"écologie, biodiversité",économie,"Präventionscharakter (hoch=1, mittel=2, gering=3)","Regionale Wichtigkeit (hoch=1, mittel=2, gering=3)","Lack List / Watch List ""old""",Black List / Watch List 2014,Ordonnonce sur la dissémination des organismes (ODE)
Helianthus tuberosus L.,Topinambour,x,xx,x,x,x,xx,,,,,,1,,1,,,xxx,o,xx,xx,1,3,WL,WL,-
Impatiens balfourii Hook. f.,Impatiente bicolore,x,xx,x,x,,xx,,,1,,,1,1,1,,1,xx,0,xx,x,1,3,WL,WL,-
Lysichiton americanus Hultén & H. St. John,Lysichite jaune,,(x),,,,,,,1,,,,,,,,xx,o,xx,x,1,,BL,WL,-
Opuntia humifusa (Raf.) Raf.,Figuier d'Inde,,x,,xx,x,x,,,,,1,1,,1,,,xx (x),o,xx,x,1,1,-,WL,-
Parthenocissus inserta (A. Kern.) Fritsch (+ P. quinquefolia*),Vigne vierge commune,x,xx,,x,,x,,,,,,1,1,,,1,xxx,x,x,xx,1,3,WL,WL,-
Paulownia tomentosa (Thunb.) Steud.,Paulownia,x,xx,,x,,xx,,,,,,,,1,,1,xxx,o,xx,xx,1,3,WL,WL,-
Phytolacca americana L.,Raisin d'Amérique,x,x,,,,xxx,,,,,,1,,1,,,xxx,xx,xx,xx,1,2,WL,WL,-
Sagittaria latifolia Willd.,Sagittaire à larges feuilles,x,x,,,,x,,,1,,,,,,,,xxx (?),o,xx,xx,1,2,-,WL,-
Sedum spurium M. Bieb.,Orpin bâtard,xx,xx,x,x,x,x,,,,,1,,,1,,1,xx (?),o,xx,x,1,3,WL,WL,-
Sedum stoloniferum S. G. Gmel.,Orpin stolonifère,,xx,,,,,,,,,1,,,,,,xx (?),o,xx,xx,1,3,WL,WL,-
Symphoricarpos albus (L.) S. F. Blake,Symphorine blanche,xxx,xx,,,,,,,,,,1,1,,,,xxx (?),x,xx,x,1,3,-,WL,-
