"Species","Family","N5","Last year","Map"
"Aglais io  (Linnaeus, 1758)","Nymphalidae","590220","2022","Show (ancien)"
"Aglais urticae  (Linnaeus, 1758)","Nymphalidae","590220","2021","Show (ancien)"
"Anthocharis cardamines  (Linnaeus, 1758)","Pieridae","590220","2021","Show (ancien)"
"Apatura ilia  (Denis & Schiffermüller, 1775)","Nymphalidae","590220","2022","Show (ancien)"
"Apatura iris  (Linnaeus, 1758)","Nymphalidae","590220","2018","Show (ancien)"
"Aphantopus hyperantus  (Linnaeus, 1758)","Nymphalidae","590220","2020","Show (ancien)"
"Araschnia levana  (Linnaeus, 1758)","Nymphalidae","590220","2020","Show (ancien)"
"Argynnis paphia  (Linnaeus, 1758)","Nymphalidae","590220","2020","Show (ancien)"
"Aricia agestis  (Denis & Schiffermüller, 1775)","Lycaenidae","590220","1890","Show (ancien)"
"Boloria euphrosyne  (Linnaeus, 1758)","Nymphalidae","590220","2019","Show (ancien)"
"Brenthis daphne  (Denis & Schiffermüller, 1775)","Nymphalidae","590220","2020","Show (ancien)"
"Brenthis ino  (Rottemburg, 1775)","Nymphalidae","590220","1866","Show (ancien)"
"Brintesia circe  (Fabricius, 1775)","Nymphalidae","590220","2023","Show (ancien)"
"Carcharodus alceae  (Esper, 1780)","Hesperiidae","590220","2006","Show (ancien)"
"Celastrina argiolus  (Linnaeus, 1758)","Lycaenidae","590220","2022","Show (ancien)"
"Chazara briseis  (Linnaeus, 1764)","Nymphalidae","590220","1857","Show (ancien)"
"Coenonympha pamphilus  (Linnaeus, 1758)","Nymphalidae","590220","2021","Show (ancien)"
"Colias alfacariensis  Ribbe, 1905","Pieridae","590220","2009","Show (ancien)"
"Colias crocea  (Fourcroy, 1785)","Pieridae","590220","2022","Show (ancien)"
"Colias hyale  (Linnaeus, 1758)","Pieridae","590220","2003","Show (ancien)"
"Colias hyale aggr.","Pieridae","590220","2023","Show (ancien)"
"Cupido alcetas  (Hoffmannsegg, 1804)","Lycaenidae","590220","2020","Show (ancien)"
"Cupido argiades  (Pallas, 1771)","Lycaenidae","590220","2023","Show (ancien)"
"Cupido minimus  (Fuessly, 1775)","Lycaenidae","590220","2014","Show (ancien)"
