"Species","Family","N5","Last year","Map"
"Myotis daubentonii  (Kuhl, 1817)","Vespertilionidae","590220","2012","Show (ancien)"
"Myotis mystacinus  (Kuhl, 1817)","Vespertilionidae","590220","1998","Show (ancien)"
"Pipistrellus nathusii  (Keyserling & Blasius, 1839)","Vespertilionidae","590220","2017","Show (ancien)"
"Pipistrellus pipistrellus  (Schreber, 1774)","Vespertilionidae","590220","2018","Show (ancien)"
"Pipistrellus pipistrellus/pygmaeus aggr.","Vespertilionidae","590220","1996","Show (ancien)"
"Plecotus auritus  (Linnaeus, 1758)","Vespertilionidae","590220","1982","Show (ancien)"
"Vespertilio murinus  Linnaeus, 1758","Vespertilionidae","590220","2015","Show (ancien)"
