"Species","Family","N5","Last year","Map"
"Abrostola triplasia  (Linnaeus, 1758)","Noctuidae","590220","1981","Show (ancien)"
"Acronicta megacephala  (Denis & Schiffermüller, 1775)","Noctuidae","590220","1983","Show (ancien)"
"Acronicta psi  (Linnaeus, 1758)","Noctuidae","590220","1959","Show (ancien)"
"Acronicta rumicis  (Linnaeus, 1758)","Noctuidae","590220","2017","Show (ancien)"
"Adela cuprella  (Denis & Schiffermüller, 1775)","Adelidae","590220","1953","Show (ancien)"
"Aglia tau  (Linnaeus, 1758)","Saturniidae","590220","2020","Show (ancien)"
"Agrochola circellaris  (Hufnagel, 1766)","Noctuidae","590220","1979","Show (ancien)"
"Agrochola litura  Linnaeus, 1758","Noctuidae","590220","1980","Show (ancien)"
"Agrochola lota  (Clerck, 1759)","Noctuidae","590220","1978","Show (ancien)"
"Agrotis exclamationis  (Linnaeus, 1758)","Noctuidae","590220","2017","Show (ancien)"
"Agrotis ipsilon  (Hufnagel, 1766)","Noctuidae","590220","1985","Show (ancien)"
"Agrotis segetum  (Denis & Schiffermüller, 1775)","Noctuidae","590220","2017","Show (ancien)"
"Allophyes oxyacanthae  (Linnaeus, 1758)","Noctuidae","590220","1979","Show (ancien)"
"Amphipyra pyramidea  (Linnaeus, 1758)","Noctuidae","590220","1983","Show (ancien)"
"Amphipyra tragopoginis  (Clerck, 1759)","Noctuidae","590220","1980","Show (ancien)"
"Anaplectoides prasina  (Denis & Schiffermüller, 1775)","Noctuidae","590220","1979","Show (ancien)"
"Apamea anceps  (Denis & Schiffermüller, 1775)","Noctuidae","590220","1981","Show (ancien)"
"Apamea crenata  (Hufnagel, 1766)","Noctuidae","590220","1981","Show (ancien)"
"Apamea epomidion  (Haworth, 1809)","Noctuidae","590220","1979","Show (ancien)"
"Apamea lithoxylaea  (Denis & Schiffermüller, 1775)","Noctuidae","590220","1979","Show (ancien)"
"Apamea monoglypha  (Hufnagel, 1766)","Noctuidae","590220","2017","Show (ancien)"
"Apamea ophiogramma  (Esper, 1793)","Noctuidae","590220","2017","Show (ancien)"
"Apamea platinea  (Treitschke, 1825)","Noctuidae","590220","1880","Show (ancien)"
"Apamea scolopacina  (Esper, 1788)","Noctuidae","590220","2017","Show (ancien)"
