"Species","Family","N5","Last year","Map"
"Myotis daubentonii  (Kuhl, 1817)","Vespertilionidae","580220","1986","Show (ancien)"
"Myotis myotis  (Borkhausen, 1797)","Vespertilionidae","580220","2019","Show (ancien)"
"Pipistrellus kuhlii  (Kuhl, 1817)","Vespertilionidae","580220","2018","Show (ancien)"
"Pipistrellus pipistrellus  (Schreber, 1774)","Vespertilionidae","580220","2020","Show (ancien)"
"Pipistrellus pipistrellus/pygmaeus aggr.","Vespertilionidae","580220","1999","Show (ancien)"
"Pipistrellus pygmaeus  (Leach, 1825)","Vespertilionidae","580220","2020","Show (ancien)"
"Plecotus auritus  (Linnaeus, 1758)","Vespertilionidae","580220","1985","Show (ancien)"
"Vespertilio murinus  Linnaeus, 1758","Vespertilionidae","580220","2019","Show (ancien)"
