kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pseudoclitocybaceae,Clitopaxillus,Clitopaxillus alexandri,"Clitopaxillus alexandri (Gillet) G.Moreno, Vizzini, Consiglio & P.Alvarado","Clitopaxillus alexandri (Gillet) G. Moreno, Vizzini, Consiglio & P. Alvarado",64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2013-10-02T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia lilascens,Phlebia lilascens (Bourdot) J.Erikss. & Hjortstam,Phlebia lilascens (Bourdot) J. Erikss. et Hjortstam,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2013-11-02T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula ochroleuca,Russula ochroleuca Fr.,Russula ochroleuca (Pers.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2013-11-02T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina marginata,Galerina marginata (Batsch) Kühner,Galerina marginata (Batsch) Kuehner,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2013-11-02T00:00:00
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,Hypocrea gelatinosa,Hypocrea gelatinosa (Tode) Fr.,Hypocrea gelatinosa (Tode: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2014-02-24T00:00:00
Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Bulgaria,Bulgaria inquinans,Bulgaria inquinans (Pers.) Fr.,Bulgaria inquinans (Pers.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2014-02-24T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus cesatii,Crepidotus cesatii (Rabenh.) Sacc.,Crepidotus cesatii (Rabenh.) Sacc.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2014-05-31T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Phaeolus,Phaeolus schweinitzii,Phaeolus schweinitzii (Fr.) Pat.,Phaeolus schweinitzii (Fr.: Fr.) Pat.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2014-05-10T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Xerocomellus cisalpinus,"Xerocomus cisalpinus Simonini, H.Ladurner & Peintner","Xerocomus cisalpinus Simonini, H. Ladurner et Peintner",64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2014-11-09T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella crispa,Helvella crispa (Scop.) Fr.,Helvella crispa Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2014-11-09T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius malicorius,Cortinarius malicorius Fr.,Cortinarius malicorius Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2014-11-09T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Parasola plicatilis,"Parasola plicatilis (Curtis) Redhead, Vilgalys & Hopple","Parasola plicatilis (Curtis: Fr.) Redhead, Vilgalys & Hopple",64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2014-11-09T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,Flammulina velutipes (Curtis) P.Karst.,Flammulina velutipes (M.A. Curtis: Fr.) P. Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2014-12-14T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Coprinus comatus,Coprinus comatus (O.F.Müll.) Pers.,Coprinus comatus (O.F. Muell.: Fr.) Pers.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2014-10-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius pyrogalus,Lactarius pyrogalus (Bull.) Fr.,Lactarius pyrogalus (Bull.: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2014-10-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Ripartites,Ripartites tricholoma,Ripartites tricholoma (Alb. & Schwein.) P.Karst.,Ripartites tricholoma (Alb. et Schwein.: Fr.) P. Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2014-10-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus mollis,Crepidotus mollis (Schaeff.) Staude,Crepidotus mollis (Schaeff.: Fr.) Staude,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2014-10-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Hapalopilus,Hapalopilus rutilans,Hapalopilus rutilans (Per.) P.Karst.,Hapalopilus rutilans (Pers.:Fr.) Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2014-10-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Peniophorella,Peniophorella pubera,Peniophorella pubera (Fr.) P.Karst.,Peniophorella pubera (Fr.) P. Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2014-10-25T00:00:00
Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bryoscyphus,Bryoscyphus dicrani,Bryoscyphus dicrani (Ade & Höhn.) Spooner,Bryoscyphus dicrani (Ade et Hoehnel) Spooner in Kirk,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2014-12-02T00:00:00
